Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
apcree,Queensland,startup,commission;saas,http://apcree.com,early stage,,real estate,Townsville,"Townsville, Townsville City, Queensland, 4810, Australia",Makes real estate automatic,https://www.linkedin.com/showcase/apcree/,https://queensland.dealroom.co/companies/apcree,0,,
Apex Fitness,Queensland,startup,,https://www.apexfitness.au,early stage,1,,Brisbane,"City of Brisbane, Queensland, Australia",Data and analytics for weight training rehabilitation,https://www.linkedin.com/company/forj-fitness/,https://queensland.dealroom.co/companies/apex_fitness,0,,
Apirender,Queensland,startup,deep tech;artificial intelligence;subscription;saas,http://apirender.com,early stage,1,marketing,Brisbane,"Brisbane City, Queensland, Australia",Listing enhancement and project marketing through AI and automation,https://www.linkedin.com/company/api-render/,https://queensland.dealroom.co/companies/apirender,0,,
Apoio,Queensland,startup,commission,http://apoio.com.au,early stage,2-10,,Mackay,"Wide Bay Australia House, Victoria Street, Mackay, Mackay Regional, Queensland, 4740, Australia",Changing Plan Managers to Apoio is EASY!,https://www.linkedin.com/company/apoioau,https://queensland.dealroom.co/companies/apoio_1,0,,
Appalladium,Queensland,scaleup,,https://appalladium.wordpress.com/,early stage,1,,Brisbane,"Australia, Brisbane","Brisbane, australia based mobile start-up specialising in app development",https://www.linkedin.com/company/appalladium,https://queensland.dealroom.co/companies/appalladium,0,,
Appenate (Pty)Ltd,Queensland,scaleup,subscription;saas,http://appenate.com,early stage,11-50,enterprise software,Brisbane,"Australia, Brisbane",A Platform for Creating Data-Driven Apps That Empower Your Business,https://www.linkedin.com/company/appenate-pty-ltd,https://queensland.dealroom.co/companies/appenate_pty_ltd,0,,
Appreci,Queensland,startup,commission;marketplace & ecommerce;saas,http://appreci.io,early stage,2-10,fintech;event tech,Brisbane,"Brisbane, QLD 4000, Australia",Send a digital gift with Appreci - The Personal Appreciation Platform,https://www.linkedin.com/company/appreci-io/,https://queensland.dealroom.co/companies/appreci,0,,
Approach,Queensland,startup,,https://www.approach.app/,early stage,2-10,,Brisbane,"Brisbane City, Queensland, Australia",Complete gym management software for the fitness industry,https://www.linkedin.com/company/approach-app/,https://queensland.dealroom.co/companies/approach_app,0,,
Approvedcarloans,Queensland,scaleup,subscription;marketplace & ecommerce,http://approvedcarloans.com.au,early stage,2-10,fintech,Brisbane,"15, Wacol Station Road, Wacol, Brisbane City, Queensland, 4076, Australia",Low rate car finance with 60-second pre-approval and access to 40 lenders across Australia,https://www.linkedin.com/company/approved-car-loans-australia/,https://queensland.dealroom.co/companies/approvedcarloans,0,,
Appzoola,Queensland,startup,subscription;saas,http://appzoola.com,early stage,2-10,,Brisbane,"Queen Street, Fortitude Valley, Brisbane City, Queensland, 4001, Australia",Native mobile app builder with 145+ templates and 87 add-ons for scalable business solutions,https://www.linkedin.com/company/appzoola/,https://queensland.dealroom.co/companies/appzoola,0,,
aptium,Queensland,startup,artificial intelligence;3d technology;commission;manufacturing,http://aptium.ai,early stage,2-10,health,Brisbane,"City of Brisbane, Queensland, Australia","Advanced AI-driven 3D and 4D scanning solutions for healthcare, industrial, and manufacturing sectors",https://www.linkedin.com/company/aptium-ai/,https://queensland.dealroom.co/companies/aptium,0,,
architecture of the Elas Ledger,Queensland,startup,subscription;saas,http://elas.co,early stage,11-50,enterprise software,Brisbane,"Brisbane City, Queensland, Australia",A bespoke solution to your needs,https://www.linkedin.com/company/elas,https://queensland.dealroom.co/companies/architecture_of_the_elas_ledger,0,,
Ardacious,Queensland,startup,advertising,http://ardacious.com,early stage,2-10,gaming,Brisbane,"Brisbane City, Queensland, Australia",,https://www.linkedin.com/company/ardacious-pty-ltd/,https://queensland.dealroom.co/companies/ardacious_pty_ltd,0,,
Argos-reg,Queensland,startup,subscription;saas,http://argos-reg.tech,early stage,1,legal,Brisbane,"Melbourne Street Green, South Bank, South Brisbane, Brisbane City, Queensland, Australia","Platform for tracking, understanding, and communicating regulatory changes with collaborative tools and expert content",https://www.linkedin.com/company/argosregtech/,https://queensland.dealroom.co/companies/argos_reg,0,,
Aroma Armour,Queensland,startup,manufacturing,https://www.aromaarmour.com/,early stage,2-10,fashion,Brisbane,"City of Brisbane, Queensland, Australia","Natural shoe fresheners absorbing moisture and eliminating odours, extending the life of your footwear without harsh chemicals",https://www.linkedin.com/company/aroma-armour/,https://queensland.dealroom.co/companies/aroma_armour,0,,
ARTEH,Queensland,startup,,http://arteh.com.au,early stage,,energy,Brisbane,"Brisbane City, Queensland, Australia",Automated climate risk assessment and monitoring platform delivering zero carbon certifications and TCFD-aligned strategies,https://www.linkedin.com/company/71286406,https://queensland.dealroom.co/companies/arteh_1_1,0,,
Asbestos Watch Australia,Queensland,scaleup,,http://asbestoswatch.com.au,early stage,1,,Ipswich City,"187 Brisbane Terrace, Goodna, Queensland 4300, AU",Asbestos Testing - Asbestos Watch,https://www.linkedin.com/company/asbestos-watch-head-office/,https://queensland.dealroom.co/companies/asbestos_watch_australia,0,,
Ascenda,Queensland,startup,artificial intelligence,http://ascenda.one,early stage,2-10,wellness beauty,Gold Coast,"Gold Coast City, Queensland, Australia",AI-enabled mental fitness and performance tracking platform.,https://www.linkedin.com/company/ascenda-one/,https://queensland.dealroom.co/companies/ascenda_2,0,,
Askable,Queensland,startup,,http://askable.com,breakout stage,51-200,marketing,Brisbane,"Fortitude Valley, Brisbane, QLD 4006, Australia","Participant recruitment platform optimizing research with targeted demographics and automated reminders across Australia, NZ, US, and UK",https://www.linkedin.com/company/askable/,https://queensland.dealroom.co/companies/askable,11,,
Asky,Queensland,startup,artificial intelligence;saas,http://asky.ai,early stage,,,Brisbane,"City of Brisbane, Queensland, Australia",Automated hospitality marketing platform enhancing sales through data-driven customer engagement and optimized ad performance,https://www.linkedin.com/company/asky-ai/,https://queensland.dealroom.co/companies/asky_2,0,,
ASN Telecom - Fibre Communities,Queensland,startup,subscription,http://asntelecom.com.au,early stage,2-10,telecom,Gold Coast,"Gold Coast City, Queensland, Australia","ASN Telecom is a layer 2, wholesale telecommunications carrier that specialises in the supply, installation, management and maintenance of Fibre-To-The-Home",https://www.linkedin.com/company/australia-s-superfast-network-asn-telecom,https://queensland.dealroom.co/companies/asn_telecom_fibre_communities,2,,
Asset Assess,Queensland,startup,commission;saas,http://assetassess.com.au,early stage,,,Brisbane,"Toowong, Brisbane City, Queensland, 4066, Australia",Fault detection and diagnostics platform enhancing HVAC efficiency with real-time insights for facility managers,https://www.linkedin.com/company/asset-assess/,https://queensland.dealroom.co/companies/asset_assess,0,,
Assetlogue,Queensland,scaleup,augmented reality;subscription;saas,http://assetlogue.com,early stage,2-10,fintech,Gold Coast,"Australia, Gold Coast",Location based asset management SaaS platform with Machine Learning & Augmented Reality applied technologies/capabilities,https://www.linkedin.com/company/assetlogue/,https://queensland.dealroom.co/companies/assetlogue,0,,
Asseton Group Pty,Queensland,startup,,http://asseton.com.au,breakout stage,51-200,fintech,Brisbane,"Adelaide Street, Brisbane City, Queensland, 4000, Australia","Mining Equipment Master Data | AssetOn, Asset Management Specialist",https://www.linkedin.com/company/asseton/,https://queensland.dealroom.co/companies/asseton_group_pty,0,,
Assignment Watch,Queensland,startup,saas,,early stage,,education,Brisbane,"Fairfield, City of Brisbane, Queensland, 4103, Australia",Automated online content monitoring for academic integrity,,https://queensland.dealroom.co/companies/assignment_watch,0,,
Assimil8,Queensland,startup,,http://assimil8.com.au,early stage,1,,Brisbane,"Brisbane, AU","Accessible data analytics, AI, and managed cloud solutions",https://www.linkedin.com/company/assimil8/,https://queensland.dealroom.co/companies/assimil8,0,,
AssociatedGRAIN,Queensland,scaleup,,http://associatedgrain.com.au,early stage,2-10,food,Dalby,"Dalby, Western Downs Regional, Queensland, 4405, Australia",Independently owned pulses processor,https://www.linkedin.com/company/associated-grain/,https://queensland.dealroom.co/companies/associatedgrain,0,,
AstreOS,Queensland,startup,mobile app;commission;saas,http://astreos.space,early stage,2-10,health,Brisbane,"39, Sandford Street, St Lucia, Greater Brisbane, Queensland, 4067, Australia",A multi-sensorial astronomy app using the accelerometer to provide spatially accurate locations of every object in the sky,,https://queensland.dealroom.co/companies/astreos,0,,
Astute Systems,Queensland,startup,deep tech;commission;manufacturing,http://astutesys.com,early stage,2-10,robotics,Brisbane,"Fortitude Valley, City of Brisbane, Queensland, Australia","Rugged, AI-enabled computing for mission-critical defense applications",https://www.linkedin.com/company/astutesys/,https://queensland.dealroom.co/companies/astute_systems_1,0,,
AsyncBrain,Queensland,startup,subscription;saas,http://asyncbrain.com,early stage,2-10,enterprise software,Gold Coast,"Gold Coast City, Queensland, Australia","AsyncBrain seamlessly integrates into your existing tools, like Slack, enabling easy capture and logging of decisions without workflow disruption",https://www.linkedin.com/company/asyncbrain/,https://queensland.dealroom.co/companies/asyncbrain,0,,
At Finance,Queensland,startup,subscription;marketplace & ecommerce,https://atfinance.au,early stage,2-10,fintech,Gold Coast,"3/11 Grice Avenue, Paradise Point, Gold Coast, Queensland 4216, AU","Comprehensive financial solutions for property investment, personal, and commercial loans, ensuring tailored support and success",https://www.linkedin.com/company/at-finance-qld,https://queensland.dealroom.co/companies/at_finance,0,,
ATD AI,Queensland,startup,commission;saas,https://www.atdai.ai/,early stage,,enterprise software,Girraween,"Border Fire Trail, Girraween, Southern Downs Regional, Queensland, Australia",Decentralized AI framework for privacy-preserving model training,,https://queensland.dealroom.co/companies/atd_ai,0,,
Athena AI,Queensland,startup,artificial intelligence;deep tech;machine learning;deep learning;computer vision;subscription;saas,http://athenadefence.ai,early stage,11-50,space,Brisbane,"Murarrie, Brisbane City, Queensland, 4172, Australia","Provides military forces with unmatched decision support capability utilising state of the art AI vision toolbox, geospatial AI for terrain analysis, advanced effects modelling and integrated Rules of Engagement (ROE) considerations",https://www.linkedin.com/company/athena-artificial-intelligence/,https://queensland.dealroom.co/companies/athena_ai_1,0,,
AtlaSynk,Queensland,startup,,https://atlasynk.com,early stage,1,,Brisbane,"City of Brisbane, Queensland, Australia",,https://www.linkedin.com/company/atlasynk/,https://queensland.dealroom.co/companies/atlasynk,0,,
Atmosphere TV Australia,Queensland,startup,subscription,http://atmospheretv.com.au,early stage,1,,Gold Coast,"Gold Coast, Queensland, Australia",Atmosphere TV is free for businesses,https://www.linkedin.com/company/atmosphere-tv-aust,https://queensland.dealroom.co/companies/atmosphere_tv_australia,0,,
Attekus,Queensland,startup,subscription;saas,https://attekus.com,early stage,11-50,event tech;enterprise software,Brisbane,"Brisbane City, Queensland, Australia","Purpose-built platform for Local Government booking and event ticketing, offering tailored solutions and comprehensive support",https://www.linkedin.com/company/attekus/,https://queensland.dealroom.co/companies/attekus,0,,
Attract,Queensland,startup,subscription,http://attract.ai,early stage,11-50,jobs recruitment,Brisbane,"Brisbane City, Queensland, Australia",Automated talent sourcing platform optimizing recruitment with strategic sourcing and diversity inclusion,https://www.linkedin.com/company/attract-ai/,https://queensland.dealroom.co/companies/attract,0,,
Audeara,Queensland,scaleup,hardware;selling own inventory;marketplace & ecommerce;manufacturing,http://audeara.com,early stage,11-50,health;music,Brisbane,"527, Gregory Terrace, Fortitude Valley, Brisbane City, Queensland, 4006, Australia","The world's first full fidelity, personalised headphones",https://www.linkedin.com/company/audeara/,https://queensland.dealroom.co/companies/audeara,2,,
Auditor Training Online,Queensland,scaleup,commission;marketplace & ecommerce,http://auditortrainingonline.com,early stage,2-10,education,Brisbane,"Australia, Brisbane",,https://www.linkedin.com/company/auditor-training-online,https://queensland.dealroom.co/companies/auditor_training_online,0,,
Augmented Bionics,Queensland,startup,selling own inventory;manufacturing,https://www.augmentedbionics.com/,early stage,1,health,Brisbane,"Indooroopilly, Brisbane, QLD 4068, Australia",Developing a non-surgical bionic ear using Transcranial Magnetic Stimulation to restore hearing for severe hearing loss,https://www.linkedin.com/company/augmented-bionics/,https://queensland.dealroom.co/companies/augmented_bionics,0,,
Aura Education Pty Ltd,Queensland,startup,,http://aura.edu.au,early stage,,education,Brisbane,"Fortitude Valley, City of Brisbane, Queensland, Australia","Recognition of Prior Learning process for formal accreditation in IT and professional fields, reducing study time and enhancing career paths",https://www.linkedin.com/company/aura-education-pty-ltd/,https://queensland.dealroom.co/companies/aura_education_pty_ltd,0,,
Aurizon,Queensland,scaleup,commission,http://aurizon.com.au,late stage,1001-5000,education,Brisbane,"900, Ann Street, Fortitude Valley, Greater Brisbane, Queensland, 4006, Australia","Aurizon is Australia’s largest rail freight operator, moving coal, iron ore, agricultural freight and more across the nation",https://www.linkedin.com/company/aurizon/,https://queensland.dealroom.co/companies/aurizon,92,,
Aurora Smiles Chermside,Queensland,startup,marketplace & ecommerce,http://aurorasmiles.com.au,early stage,,,Brisbane,"Chermside, Brisbane City, Queensland, 4032, Australia","Expert dental care in Chermside, offering personalized services with advanced technology for healthy, confident family smiles",https://www.linkedin.com/company/aurora-smiles-chermside/,https://queensland.dealroom.co/companies/aurora_smiles_chermside,0,,
Aurtra,Queensland,startup,hardware;subscription;saas,http://www.aurtra.net/,early stage,1,enterprise software,Brisbane,"5, Nelson Street, Corinda, Brisbane City, Queensland, 4075, Australia",Aurtra is to launch its transformer condition monitoring system into the international energy market,https://www.linkedin.com/company/aurtra/,https://queensland.dealroom.co/companies/aurtra,0,,
AUS-ROV,Queensland,scaleup,selling own inventory;manufacturing,http://aus-rov.com.au,early stage,2-10,energy;robotics,Gold Coast,"Australia, Gold Coast",AUS-ROV personnel have extensive experience in ROV operations,https://www.linkedin.com/company/aus-rov,https://queensland.dealroom.co/companies/aus_rov,0,,
AusE1 Pty Ltd - Australian Marketplace,Queensland,startup,marketplace & ecommerce,http://ause1.com.au,early stage,,food,Brisbane,"Brisbane City, Queensland, Australia",Building a mega B2C Multi vendor marketplace for only Aussie Vendors,,https://queensland.dealroom.co/companies/ause1_pty_ltd_australian_marketplace,0,,
Aussie Tech Heads,Queensland,scaleup,subscription,http://athwebhosting.com.au,early stage,1,hosting,Gold Coast,"Australia, Gold Coast",Aussie Tech Heads is miles above the rest as an exceptional web hosting company,https://www.linkedin.com/company/aussie-tech-heads,https://queensland.dealroom.co/companies/aussie_tech_heads,0,,
Aussie Time Sheets,Queensland,scaleup,subscription;saas,http://aussietimesheets.com.au,early stage,11-50,jobs recruitment,Sunshine Coast Regional,"David Low Way, Pacific Paradise, Sunshine Coast Regional, Queensland, 4564, Australia",Aussie Time Sheets - Employee Time Clock and Timesheet Systems,https://www.linkedin.com/company/aussie-time-sheets,https://queensland.dealroom.co/companies/aussie_time_sheets,0,,
Aussiedigital,Queensland,scaleup,subscription,http://aussiedigital.io,early stage,11-50,fintech,Brisbane,"4129 Brisbane City, Australia","Cryptocurrency Trading Exchange, AUD Coin , ICO - Aussie Digital",https://www.linkedin.com/company/aussiedigital/,https://queensland.dealroom.co/companies/aussiedigital,0,,
Australian Battery Testing Centre,Queensland,startup,,,early stage,,,Brisbane,"Brisbane City, City of Brisbane, Queensland, 4000, Australia",,,https://queensland.dealroom.co/companies/australian_battery_testing_centre,0,,
Australian Droid and Robot,Queensland,scaleup,deep tech;selling own inventory;manufacturing,https://www.australiandroid.com.au/,early stage,11-50,robotics,Brisbane,"Brisbane City, Queensland, Australia",Robotic data acquisition systems for hazardous industries,https://www.linkedin.com/company/australian-droid-robot/,https://queensland.dealroom.co/companies/australian_droid_robot,0,,
Australian Families 4 Genomics,Queensland,startup,manufacturing,http://australianfamilies4genomics.org,early stage,1,kids,Brisbane,"Brisbane, Queensland AU",Diagnosed with cancer won't reach their,https://www.linkedin.com/company/australian-families-4-genomics/,https://queensland.dealroom.co/companies/australian_families_4_genomics,0,,
Australian Future Energy,Queensland,scaleup,subscription;manufacturing,http://www.ausfutureenergy.com,early stage,,energy,Brisbane,"Australia, Brisbane",Australian Future Energy Pty Ltd,,https://queensland.dealroom.co/companies/australian_future_energy,0,,
Australian Institute of Food Safety,Queensland,scaleup,subscription,http://foodsafety.com.au,early stage,2-10,legal,Brisbane,"Eight Mile Plains, Brisbane City, Queensland, Australia",Australian Institute of Food Safety is Australia's leading provider of Food Safety education and training,https://www.linkedin.com/company/australian-institute-of-food-safety/,https://queensland.dealroom.co/companies/australian_institute_of_food_safety,0,,
Australian Urban Growers,Queensland,startup,,https://australianurbangrowers.com,early stage,2-10,food,Brisbane,"Zillmere, Greater Brisbane, Queensland, 4034, Australia",Urban farming solutions to combat deforestation and urbanization with tailored packages and training for optimal yields,https://www.linkedin.com/company/australianurbangrowers/,https://queensland.dealroom.co/companies/australian_urban_growers,0,,
Australian Vaporizers,Queensland,scaleup,subscription;marketplace & ecommerce,http://australianvaporizers.com.au,early stage,2-10,home living,Brisbane,"Australia, Brisbane","Online expert for aromatherapy products, specialising in vaporizers",https://www.linkedin.com/company/australian-vaporizers-pty-ltd/,https://queensland.dealroom.co/companies/australian_vaporizers,0,,
Australian Wholefoods,Queensland,scaleup,manufacturing,http://australianwholefoods.com.au,early stage,11-50,,Brisbane,"Salisbury, Dollis Street, Rocklea, Greater Brisbane, Queensland, 4107, Australia",Manufacturer and marketer of branded and private label meal solutions that innovate in chosen markets,https://www.linkedin.com/company/australian-wholefoods-pty-ltd-/,https://queensland.dealroom.co/companies/australian_wholefoods,0,,
Austransmission,Queensland,scaleup,deep tech;commission;saas,http://admin22604.wixsite.com,early stage,,telecom,Brisbane,"Brisbane City, Queensland, Australia","Expertise in the design, project management, implementation and technical support of telecommunications equipment",https://www.linkedin.com/company/austransmission-pty-ltd/,https://queensland.dealroom.co/companies/austransmission,0,,
Authentic Healthpreneurs,Queensland,startup,,https://authentichealthpreneurs.com/,early stage,1,marketing,Greater Brisbane,"Yoga Soul, 11, Mawarra Crescent, Ferny Hills, Greater Brisbane, Moreton Bay Regional, Queensland, 4055, Australia",Empowering women in health and wellness to launch and expand successful businesses with strategic guidance,https://www.linkedin.com/company/authentic-healthpreneurs/,https://queensland.dealroom.co/companies/authentic_healthpreneurs,0,,
Autism CRC,Queensland,scaleup,,http://autismcrc.com.au,early stage,11-50,health,Gold Coast,"Southport, Gold Coast, Queensland, Australia",National cooperative research hub delivering evidence-based autism support and best practice guidelines,https://www.linkedin.com/company/autism-crc/,https://queensland.dealroom.co/companies/autism_crc,0,,
AutoGuru,Queensland,scaleup,commission;marketplace & ecommerce,https://www.autoguru.com.au,breakout stage,51-200,transportation,Gold Coast,"Surfers Paradise, Qld 4217, AU",Platform that connects customers with top-rated car repairers across Australia,https://www.linkedin.com/company/autoguru/,https://queensland.dealroom.co/companies/autoguru,2,,
Automap,Queensland,startup,subscription;saas,http://automap.io,early stage,2-10,robotics,Brisbane,"Brisbane Street, Toowong, Brisbane City, Queensland, 4066, Australia",,https://www.linkedin.com/company/automapptyltd/,https://queensland.dealroom.co/companies/automap,0,,
Autop,Queensland,startup,subscription;saas,http://autop.online,early stage,2-10,marketing,Brisbane,"Brisbane City, Queensland, Australia",,https://www.linkedin.com/company/autop-pty-ltd,https://queensland.dealroom.co/companies/autop,0,,
Autopricer,Queensland,startup,commission,https://autopricer.com.au/,early stage,,transportation,Brisbane,"City of Brisbane, Queensland, Australia",Reverse auction platform connecting buyers with dealerships for the best new car prices without leaving home,,https://queensland.dealroom.co/companies/autopricer,0,,
AutoReconcile,Queensland,startup,,http://autoreconcile.com.au,early stage,1,legal,Brisbane,"Brisbane City, Queensland, Australia",Automated statement matching system saving up to 90% of reconciliation time with tailored packages for businesses,https://www.linkedin.com/company/autoreconcile,https://queensland.dealroom.co/companies/autoreconcile,0,,
Autorfpai,Queensland,startup,saas,http://autorfp.ai,early stage,11-50,enterprise software,Brisbane,"City of Brisbane, Queensland, Australia",AI-driven platform optimizing RFP responses with real-time collaboration and enterprise-grade security,https://www.linkedin.com/company/autorfp/,https://queensland.dealroom.co/companies/autorfpai,0,,
Auxita,Queensland,scaleup,commission;saas,http://auxita.com,early stage,11-50,health;enterprise software,Brisbane,"Brisbane, QLD 4000, Australia","Provides valuable, unbiased information to physicians in real-time",https://www.linkedin.com/company/auxita/,https://queensland.dealroom.co/companies/auxita,0,,
Ava Aero,Queensland,startup,manufacturing,http://ava-aero.com,early stage,2-10,,Gold Coast,"Gold Coast, Queensland, Australia",AVA eVTOL Airtaxi | Australian VTOL Aircraft,https://www.linkedin.com/company/ava-aerospace,https://queensland.dealroom.co/companies/ava_aero,0,,
Avenue Crew,Queensland,startup,saas,http://avenuecrew.au,early stage,2-10,media,Brisbane,"Morningside, Brisbane City, Queensland, 4170, Australia",With some of the best,https://www.linkedin.com/company/avenuecrew/,https://queensland.dealroom.co/companies/avenue_crew,0,,
Avorra,Queensland,startup,subscription;saas,http://avorra.com,early stage,2-10,enterprise software,,"Queensland, Australia","Set up a new phone system in minutes, with no upfront costs",http://www.linkedin.com/company/avorra,https://queensland.dealroom.co/companies/avorra,0,,
Award Lounge,Queensland,startup,subscription,http://awardlounge.com,early stage,1,travel,Toowoomba,"Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",Learn how to maximise points and miles to live a life of luxury travel with Award Lounge,http://www.linkedin.com/company/award-lounge,https://queensland.dealroom.co/companies/award_lounge,0,,
Axcelerate,Queensland,scaleup,subscription;saas,http://axcelerate.com.au,breakout stage,51-200,legal,Brisbane,"11 Camford Street, Milton, QLD 4064, AU","Comprehensive student management system streamlining AVETMISS reporting, compliance, and training operations for RTOs in Australia",https://www.linkedin.com/company/axcelerate-student-training-rto-management-systems,https://queensland.dealroom.co/companies/axcelerate,6,,
Axis Energy Group,Queensland,scaleup,selling own inventory;manufacturing,http://axisenergy.com.au,early stage,2-10,energy,Brisbane,"155 Queen Street, Brisbane, Queensland 4000, AU",Axis Energy Group - Home,https://www.linkedin.com/company/axis-energy-group-pty-ltd/,https://queensland.dealroom.co/companies/axis_energy_group,0,,
Aztec Visuals,Queensland,scaleup,advertising,http://aztecvisuals.com,early stage,1,media,Brisbane,"Australia, Brisbane",Video production and Digital Media,https://www.linkedin.com/company/aztec-visuals,https://queensland.dealroom.co/companies/aztec_visuals,0,,
B R Rural Business,Queensland,startup,artificial intelligence;big data;machine learning;deep learning;autonomous & sensor tech;connected device;iot internetofthings,https://www.brruralbusiness.com/,early stage,1,education;enterprise software,Emerald,"Yamala Street, Emerald, Central Highlands Regional, Queensland, 4720, Australia",Where agtech meets real farming systems,https://www.linkedin.com/company/b-r-rural-business/,https://queensland.dealroom.co/companies/b_r_rural_business,0,,
Babysleepmagic,Queensland,scaleup,deep tech;commission;saas,http://babysleepmagic.com,early stage,2-10,kids,Gold Coast,"Gold Coast, Queensland, Australia",Methods do not involve crying-it-out,https://www.linkedin.com/company/baby-sleep-magic/,https://queensland.dealroom.co/companies/babysleepmagic,0,,
BackiFi,Queensland,startup,subscription;saas,http://backifi.com,early stage,,hosting,Gold Coast,"Oceania, 22, The Esplanade, Koala Park, Burleigh Heads, Gold Coast, Queensland, 4220, Australia",Cloud backups for your UniFi Network Controller,,https://queensland.dealroom.co/companies/backifi,0,,
Backsync,Queensland,startup,subscription;manufacturing,http://backsync.com,early stage,2-10,health,Brisbane,"Brisbane City, Queensland, Australia",Backsync is a life-enhancing initiative focused on empowering people to move and feel better,https://www.linkedin.com/company/backsync/,https://queensland.dealroom.co/companies/backsync_1,0,,
bakslap,Queensland,startup,selling own inventory;manufacturing,http://bakslap.com,early stage,1,health;wellness beauty,Sunshine Coast Regional,"Sippy Downs Drive, Sippy Downs, Sunshine Coast Regional, Queensland, 4556, Australia","A patented lotion applicator for hard-to-reach body parts, ensuring mess-free sunscreen application and supporting melanoma research",https://www.linkedin.com/company/bakslap/,https://queensland.dealroom.co/companies/bakslap,0,,
Ballistic Beer,Queensland,startup,selling own inventory;marketplace & ecommerce,https://ballisticbeer.com,early stage,11-50,,Brisbane,"McCarthy Road, Salisbury, Brisbane City, Queensland, 4107, Australia","Crafting fresh, small-batch beers with bold flavors for a diverse community of beer enthusiasts",https://www.linkedin.com/company/ballistic-beer-co/,https://queensland.dealroom.co/companies/ballistic_beer,0,,
Banksia Minerals Processing,Queensland,startup,commission;manufacturing,https://banksiaminerals.com,early stage,2-10,energy,Brisbane,"City of Brisbane, Queensland, Australia",Low-energy electrochemical process for extracting copper,https://www.linkedin.com/company/banksia-minerals-processing/,https://queensland.dealroom.co/companies/banksia_minerals_processing,0,,
Barron River Redclaw,Queensland,startup,selling own inventory;marketplace & ecommerce,https://barronriverredclaw.com.au/,early stage,,food,Biboohra,"Hodzic Road, Biboohra, Mareeba Shire, Queensland, 4880, Australia","Sustainably farms Australian redclaw crayfish and sells fresh, restaurant-grade produce direct and wholesale",,https://queensland.dealroom.co/companies/barron_river_redclaw,0,,
BASEmesh,Queensland,scaleup,selling own inventory,http://basemesh.info,early stage,1,gaming,Brisbane,"4000 Brisbane City, Australia","3D character scans and rigged models for simulations and games, optimized for VR and real-time engines",https://www.linkedin.com/company/scansomething/,https://queensland.dealroom.co/companies/basemesh,0,,
BattleFit,Queensland,scaleup,advertising,http://battlefitapp.com,early stage,,sports,Gold Coast,"Gold Coast, Australia",BattleFit - The Social Workout App,,https://queensland.dealroom.co/companies/battlefit,0,,
Baxe,Queensland,startup,subscription,http://baxe.com,early stage,11-50,fintech,Brisbane,"Spring Hill, Brisbane City, Queensland, 4000, Australia",,https://www.linkedin.com/company/baxe/,https://queensland.dealroom.co/companies/baxe,0,,
Bean Ninjas,Queensland,scaleup,subscription,http://beanninjas.com,early stage,11-50,,Gold Coast,"Gold Coast, Queensland, Australia",Working with ecommerce businesses,https://www.linkedin.com/company/bean-ninjas/,https://queensland.dealroom.co/companies/bean_ninjas,1,,
Beauty Sleep,Queensland,startup,selling own inventory;manufacturing,https://beautysleepco.com,early stage,,wellness beauty,Brisbane,"77, Uxbridge Street, Grange, City of Brisbane, Queensland, 4051, Australia",Pillows designed to prevent sleep wrinkles and protect eyelashes,,https://queensland.dealroom.co/companies/beauty_sleep,0,,
Become A Loan Processor,Queensland,startup,commission;saas,http://becomealoanprocessor.com,early stage,2-10,fintech,Brisbane,"Brisbane City, Queensland, Australia",All The Tools You Need To Be A Successful Loan Processor,https://www.linkedin.com/company/become-a-loan-processor/,https://queensland.dealroom.co/companies/become_a_loan_processor,0,,
BeeSTARX Pty Ltd,Queensland,startup,autonomous & sensor tech;manufacturing,http://beestar.com.au,early stage,2-10,food,Brisbane,"Fortitude Valley, City of Brisbane, Queensland, Australia","Previously LB Agtech, it's an AI-powered platform enhancing hive health and pollination efficiency with real-time monitoring and predictive insights",https://www.linkedin.com/company/beestartechnology/,https://queensland.dealroom.co/companies/beestarx_pty_ltd,0,,
Bellaforte,Queensland,startup,selling own inventory;manufacturing,https://mybellaforte.com/,early stage,1,home living,Gold Coast,"Runaway Bay, Gold Coast, Queensland, 4216, Australia",Manufacturing plastic cumps,https://www.linkedin.com/company/bellaforte/,https://queensland.dealroom.co/companies/bellaforte,0,,
BenchOn,Queensland,startup,machine learning;natural language processing;big data;artificial intelligence;commission;subscription;saas,http://benchon.com.au,early stage,11-50,enterprise software,Gold Coast,"Australia, Gold Coast","Automated platform for Governments and Enterprises to engage with all businesses that have capacity to support with the right talent, products or services",https://www.linkedin.com/company/theindustryplatform/,https://queensland.dealroom.co/companies/benchon,0,,
Benzina Zero,Queensland,startup,manufacturing,https://benzinazero.com,early stage,11-50,transportation,Brisbane,"80, Yarraman Place, Virginia, City of Brisbane, Queensland, 4014, Australia","A range of electric bikes, scooters, and motorbikes for the Australian market, addressing the demand for zero-emission urban transport",https://www.linkedin.com/company/benzinazero/,https://queensland.dealroom.co/companies/benzina_zero,0,,
