Company name,Segment,Type,Website,Growth stage,Launch year,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Total funding (AUD),Status,Sponsor visa available,Hires international students
Creately,scaleup,saas,http://creately.com,early stage,2008,11-50,media;enterprise software,Melbourne,"3000 Melbourne, Australia","Chart, Diagram & Visual Canvas Software | Creately",https://www.linkedin.com/company/creately/,https://ecosystem.innovationvictoria.com/companies/creately,1,,operational,,
Cryptomesh,,commission;saas,https://cryptomesh.io/,early stage,,,fintech,Melbourne,"35, Collins Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia",Multi-chain decentralized finance staking and rewards protocol,,https://ecosystem.innovationvictoria.com/companies/cryptomesh_,6,3863636,operational,,
ctrl:cyber,startup,subscription;saas,https://ctrl.co/,early stage,2017,51-200,legal;security,Melbourne,"3000 Melbourne, Australia",Agile and Tailored Cybersecurity Services | CTRL Group,https://www.linkedin.com/company/ctrlcyber/,https://ecosystem.innovationvictoria.com/companies/ctrl_cyber,7,,acquired,,
Cubewire,startup,artificial intelligence;saas,http://cubewire.com,early stage,2024,11-50,fintech,Melbourne,"Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","Blockchain integration and liquidity management solutions for enterprises, enhancing security and operational efficiency",https://www.linkedin.com/company/cubewire8/,https://ecosystem.innovationvictoria.com/companies/cubewire,1,,operational,,
Culture Amp,scaleup,subscription;saas,http://cultureamp.com/,late stage,2009,501-1000,jobs recruitment;enterprise software,Melbourne,"Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",Offers survey platform for people and culture,https://www.linkedin.com/company/cultureamp/,https://ecosystem.innovationvictoria.com/companies/culture_amp,32,424918181,operational,,
Curio,startup,,https://curiogroup.com,early stage,2016,11-50,education,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",,https://www.linkedin.com/company/curio-group-global/,https://ecosystem.innovationvictoria.com/companies/curio_7,4,,operational,,
Cuttable,startup,artificial intelligence;subscription;saas,https://www.cuttable.com/,early stage,2021,11-50,marketing,Melbourne,"Chapel Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",AI ad creative production system for ecommerce.,https://www.linkedin.com/company/cuttable/,https://ecosystem.innovationvictoria.com/companies/cuttable,2,15700000,operational,,
Cygnett,,,http://cygnett.com,early stage,2003,51-200,energy;robotics,Melbourne,"Lorimer Street, Port Melbourne, Melbourne, City of Melbourne, Victoria, 3207, Australia",We develop accessories that combine style and substance,https://www.linkedin.com/company/cygnett/,https://ecosystem.innovationvictoria.com/companies/cygnett,2,,acquired,,
Dann Event Hire,,marketplace & ecommerce,http://danneventhire.com.au,early stage,1994,11-50,home living,Melbourne,"77 Sutton St, North Melbourne, Victoria 3187, AU",Event Furniture Hire in Melbourne - Event Chair Hire | Dann Event Hire,https://www.linkedin.com/company/dann-event-hire/,https://ecosystem.innovationvictoria.com/companies/dann_event_hire,2,,operational,,
Datarock,startup,artificial intelligence;machine learning;subscription;saas,http://datarock.com.au,early stage,2019,11-50,enterprise software,Melbourne,"Queen Street, 3000 Melbourne, Australia","Help transform mining data into actionable insights. Geologists, Geotechnical Engineers and Exploration Professionals leverage the online platform and consulting team to improve their ore body knowledge",https://www.linkedin.com/company/datarock-au/,https://ecosystem.innovationvictoria.com/companies/datarock,1,,acquired,,
Deep Blue Company,scaleup,,http://deepbluecompany.com.au,breakout stage,2012,51-200,real estate,Melbourne,"Melbourne, Australia","Building a better way to buy, sell and settle properties in Australia",https://www.linkedin.com/company/deep-blue-company/,https://ecosystem.innovationvictoria.com/companies/deep_blue_company,1,10000000,operational,,
DefendTex,scaleup,selling own inventory;manufacturing,https://www.defendtex.com/,breakout stage,2014,51-200,security,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",DefendTex is an innovator in Defence R&D for asymmetric warfare,https://www.linkedin.com/company/defendtex/,https://ecosystem.innovationvictoria.com/companies/defendtex,2,100001,operational,,
DISCO,scaleup,subscription;saas,http://www.disco.ac,breakout stage,2015,51-200,media;enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","File sharing for music and media files, reimagined",https://www.linkedin.com/company/disco-ac/,https://ecosystem.innovationvictoria.com/companies/disco_1,4,14999999,operational,,
DNAiQ,scaleup,,http://dnaiq.com,early stage,2013,1,health,Melbourne,"Burke Road, Camberwell, Melbourne, City of Boroondara, Victoria, 3126, Australia",Genetic testing and consultancy services,https://www.linkedin.com/company/dnaiq/,https://ecosystem.innovationvictoria.com/companies/dnaiq,1,,operational,,
Doftek,startup,selling own inventory;manufacturing,http://doftek.com.au,early stage,2017,2-10,transportation,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Patented wheel alignment technologies enhancing vehicle performance, safety, and sustainability",https://www.linkedin.com/company/doftek/,https://ecosystem.innovationvictoria.com/companies/doftek,1,,operational,,
Dooit.ai,startup,artificial intelligence,http://dooit.ai,early stage,2024,2-10,transportation,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","AI-driven hospitality engine creating allergy-safe, calorie-aware, and custom dietary menus",https://www.linkedin.com/company/dooit-ai/,https://ecosystem.innovationvictoria.com/companies/dooit_ai,1,,operational,,
Dragontail Systems,scaleup,artificial intelligence;deep tech;machine learning;computer vision;subscription;saas,https://www.dragontail.com/,early stage,2013,51-200,food;enterprise software,Melbourne,"673, Bourke Street, 3000 Melbourne, Australia",Platform that connects kitchen management systems to GPS equipped drivers/vehicles,https://www.linkedin.com/company/dragontail-systems/,https://ecosystem.innovationvictoria.com/companies/dragontail_systems,3,,acquired,,
Drawboard,scaleup,subscription;saas,http://drawboard.com,early stage,2011,11-50,legal;enterprise software,Melbourne,"99, Queen Street, 3000 Melbourne, Australia","Creates easier and collaborate PDF software for architecture, engineering, construction and other document-heavy industries",https://www.linkedin.com/company/drawboard/,https://ecosystem.innovationvictoria.com/companies/drawboard,1,9000001,operational,,
Dubber,scaleup,hardware;artificial intelligence;subscription;saas,http://dubber.net,breakout stage,2011,51-200,marketing;enterprise software,Melbourne,"2, Russell Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia",Global call and communication recording platform through you Service Provider,https://www.linkedin.com/company/dubber/,https://ecosystem.innovationvictoria.com/companies/dubber,2,41000000,operational,,
Dull,startup,subscription;saas,http://dull.net,early stage,2018,11-50,security,Melbourne,"Melbourne, Australia","The Dull Platform provides a simple and secure way to create, manage and control remote access to operational technology systems within and between multiple organisations, business partners and third parties",https://www.linkedin.com/company/dullhq/,https://ecosystem.innovationvictoria.com/companies/dull_1,1,,operational,,
E2 language,scaleup,,http://www.e2language.com,early stage,2015,11-50,education,Melbourne,"10, River Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",Online test preparation for English proficiency exams,https://www.linkedin.com/company/e2language/,https://ecosystem.innovationvictoria.com/companies/e2_language,1,,operational,,
Easygo,startup,subscription;saas,http://easygo.io,late stage,2016,1001-5000,gaming,Melbourne,"3000 Melbourne, Australia",Software development company focusing on disruptive technology within the online and physical gaming sector,https://www.linkedin.com/company/easygo-au/,https://ecosystem.innovationvictoria.com/companies/easygo,51,,operational,,
Easykind,startup,marketplace & ecommerce,http://easykind.com.au,breakout stage,2020,51-200,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Plant based medicine Built by Patients, for Patients",https://www.linkedin.com/company/easykindau/,https://ecosystem.innovationvictoria.com/companies/easykind_com_au,19,,operational,,
EatClub,startup,mobile app;subscription;commission;saas,https://eatclub.com.au/,breakout stage,2017,201-500,food,Melbourne,"Stop 10: Jolimont Road, Wellington Parade, East Melbourne, Melbourne, City of Melbourne, Victoria, 3002, Australia",Customer engagement platform that gives restaurants the control to manage demand for their table,https://www.linkedin.com/company/eatclub/,https://ecosystem.innovationvictoria.com/companies/eatclub,48,49399999,operational,,
EchoYield,,commission;saas,https://echoyield.io,early stage,,,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, 3000, Australia",Decentralized platform for multi-chain cryptocurrency staking.,,https://ecosystem.innovationvictoria.com/companies/echoyield,6,2200001,operational,,
EdenExchange,scaleup,commission;marketplace & ecommerce,https://www.edenexchange.com/,early stage,2011,11-50,fintech,Melbourne,"101 Moray St, Melbourne, Victoria 3006, AU",Hooking up business sellers with the right buyers and entrepreneurs to investors who can change their lives,https://www.linkedin.com/company/edenexchange-com/,https://ecosystem.innovationvictoria.com/companies/edenexchange,1,,operational,,
Edrolo,scaleup,commission;marketplace & ecommerce,http://www.edrolo.com.au,breakout stage,2011,51-200,education,Melbourne,"3ZZZ, 144, George Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",Provides online education services and tutors to high school students to improve education and the future lives of learners,https://www.linkedin.com/company/edrolo/,https://ecosystem.innovationvictoria.com/companies/edrolo_1,1,43890002,operational,,
EdSmart,scaleup,subscription;saas,http://www.edsmart.com,early stage,2014,11-50,education,Melbourne,"Albert Road, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia",EdSmart is a cloud-based School Organisation System (SOS) for streamlining and enhancing daily school administration and relationship management,https://www.linkedin.com/company/edsmartsos/,https://ecosystem.innovationvictoria.com/companies/cloud_paper_group,1,349999,operational,,
Energy Locals,startup,subscription;marketplace & ecommerce,http://energylocals.com.au,breakout stage,2016,51-200,energy,Melbourne,"11 Newton St, Melbourne, Victoria 3121, AU","Initially, a simple, fair and transparent energy tariff",https://www.linkedin.com/company/energy-locals/,https://ecosystem.innovationvictoria.com/companies/energy_locals,1,6954545,operational,,
Envato,scaleup,subscription;marketplace & ecommerce;saas,http://envato.com,breakout stage,2006,501-1000,media;enterprise software,Melbourne,"121, King Street, 3000 Melbourne, Australia",Subscription service for unlimited creative digital assets,https://www.linkedin.com/company/envato,https://ecosystem.innovationvictoria.com/companies/envato,7,,acquired,,
EonX,scaleup,subscription;saas,https://eonx.com,breakout stage,2014,51-200,fintech;enterprise software,Melbourne,"Camberwell, Victoria 3124, AU","Develops fully branded enterprise platforms for organizations looking to better connect, reward and securely transact with their members, customers and employees",https://www.linkedin.com/company/eonx-com/,https://ecosystem.innovationvictoria.com/companies/eonx,1,,operational,,
Epi-Minder,startup,commission;manufacturing,https://epiminder.com,breakout stage,2018,11-50,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Medical technology company with a focus on epilepsy monitoring,https://www.linkedin.com/company/epiminder/,https://ecosystem.innovationvictoria.com/companies/epi_minder,1,44000000,operational,,
Equiem,scaleup,subscription;saas,http://getequiem.com,breakout stage,2011,51-200,real estate,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Technology and services that vastly improves how building managers engage with property and the people who occupy them,https://www.linkedin.com/company/equiem/,https://ecosystem.innovationvictoria.com/companies/equiem,12,14337350,operational,,
Equix Technologies,scaleup,big data;saas,https://www.equix.com.au/,breakout stage,2008,51-200,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Cutting-edge financial tech solutions for banks, buy side, and sell side with cloud-native global market data",https://www.linkedin.com/company/equixtechnologies/,https://ecosystem.innovationvictoria.com/companies/equix_technologies,10,,operational,,
EstimateOne,scaleup,subscription;saas,http://estimateone.com,breakout stage,2008,51-200,real estate;enterprise software,Melbourne,"Bridge Road, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",Construction Tenders: EstimateOne,https://www.linkedin.com/company/e1aunz/,https://ecosystem.innovationvictoria.com/companies/estimateone,5,35000000,operational,,
eStore Logistics,scaleup,commission;saas,http://estorelogistics.com.au,breakout stage,2008,51-200,transportation;enterprise software,Melbourne,"Derrimut, Melbourne, City of Brimbank, Victoria, 3026, Australia",ECommerce delivery and 3PL services with award-winning warehousing and order fulfilment solutions,https://www.linkedin.com/company/estore-logistics/,https://ecosystem.innovationvictoria.com/companies/estore_logistics,2,,operational,,
EVA,startup,selling own inventory;marketplace & ecommerce,http://eva.com.au,early stage,2017,11-50,home living,Melbourne,"Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia",A Melbourne-based furniture brand renowned for its thoughtful and timeless designs,https://www.linkedin.com/company/evahome/,https://ecosystem.innovationvictoria.com/companies/eva_1_7,2,,operational,,
Eveda AUSNZ,startup,,https://www.eveda.com.au/,early stage,2017,2-10,health,Melbourne,"397 Smith St, Suite 10, Fitzroy, Victoria 3065, AU","Our vision is to improve the current and future health, wellbeing and ageing outcomes of all Australian and New Zealand peoples, whilst supporting to create an affordable and quality health and aged care system",https://www.linkedin.com/company/eveda-ausnz/,https://ecosystem.innovationvictoria.com/companies/eveda_ausnz_pty_ltd,1,,operational,,
eventflo,startup,artificial intelligence;commission;saas,http://eventflo.io,early stage,2023,11-50,event tech,Melbourne,"Chapel Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",AI-driven event strategies with FloCoin currency for dynamic pricing and engagement rewards,https://www.linkedin.com/company/eventflohq/,https://ecosystem.innovationvictoria.com/companies/eventflo,1,,operational,,
Eyerising International,startup,selling own inventory;manufacturing,https://www.eyerisinginternational.com/,early stage,2020,2-10,health,Melbourne,"Thai Lane, 9-11, Claremont Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",Medical Device for childhood Myopia control,https://www.linkedin.com/company/eyerising-international/,https://ecosystem.innovationvictoria.com/companies/eyerising_international,1,,operational,,
Family Doctor,scaleup,commission;marketplace & ecommerce,https://familydoctor.com.au/,breakout stage,2008,201-500,health,Melbourne,"Riversdale Road, Hawthorn, Melbourne, City of Boroondara, Victoria, 3122, Australia",Comprehensive medical care network offering family-focused services across Australia with after-hours home visits,https://www.linkedin.com/company/family-doctor-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/family_doctor_,11,,operational,,
Farmers Pick,startup,commission;marketplace & ecommerce,https://farmerspick.com.au/,early stage,2020,11-50,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Weird and wonderful produce with flexible delivery and meals donated with every purchase,https://www.linkedin.com/company/farmers-pickau/,https://ecosystem.innovationvictoria.com/companies/farmers_pick,1,897461,operational,,
fatsecret,scaleup,subscription,http://fatsecret.com,early stage,2007,11-50,health;food,Melbourne,"3000 Melbourne, Australia",Individualized and sustainable weight loss,https://www.linkedin.com/company/fatsecret/,https://ecosystem.innovationvictoria.com/companies/fatsecret,4,,operational,,
Feoda,startup,subscription;saas,http://feoda.com,early stage,2019,11-50,education,Melbourne,"111, Cecil Street, 3205 Melbourne, Australia",We partner with your school to help you,https://www.linkedin.com/company/feoda/,https://ecosystem.innovationvictoria.com/companies/feoda,4,,operational,,
Ferocia,scaleup,subscription,http://ferocia.com.au,early stage,2011,51-200,fintech,Melbourne,"3205 Melbourne, Australia",We have re-imagined and continually iterated our vision of the future of internet banking,https://www.linkedin.com/company/ferocia/,https://ecosystem.innovationvictoria.com/companies/ferocia,3,,acquired,,
Firmable,startup,saas,https://firmable.ai,breakout stage,2023,51-200,marketing,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Firmable is the definitive B2B database in Australia helping businesses drive smarter decisions by knowing more about their leads, customers, and candidates than ever before",https://www.linkedin.com/company/firmable/,https://ecosystem.innovationvictoria.com/companies/firmable,12,23000000,operational,,
Flippa,scaleup,advertising;commission;marketplace & ecommerce,http://flippa.com,breakout stage,2009,51-200,hosting,Melbourne,"Johnston Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia",Buy & Sell Online Businesses on the Flippa marketplace,https://www.linkedin.com/company/flippa,https://ecosystem.innovationvictoria.com/companies/flippa,2,17772727,operational,,
Flow Power,scaleup,commission,http://flowpower.com.au,breakout stage,2008,51-200,energy,Melbourne,"109-133, Burwood Road, Glenferrie, Hawthorn, Melbourne, City of Boroondara, Victoria, 3122, Australia",Smart energy solutions leveraging technology for cost-effective and efficient electricity management,https://www.linkedin.com/company/flow-power/,https://ecosystem.innovationvictoria.com/companies/flow_power,5,2600000,operational,,
Flowing Bee,startup,artificial intelligence;subscription;saas,http://flowingbee.com,early stage,2023,11-50,marketing,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Revolutionise your customer interactions using AI, customer and behavioural insights",https://www.linkedin.com/company/flowingbee/,https://ecosystem.innovationvictoria.com/companies/flowing_bee,1,1620000,operational,,
FlowTrack,startup,subscription;saas,http://flowtrack.ai,early stage,2020,11-50,enterprise software,Melbourne,"3000 Melbourne, Australia",Employee productivity monitoring platform enhancing operational efficiency with detailed insights and transparent tracking,https://www.linkedin.com/company/flowtrackai/,https://ecosystem.innovationvictoria.com/companies/flowtrack,2,,operational,,
Fluency,startup,artificial intelligence;subscription;saas,https://usefluency.com,early stage,2023,11-50,enterprise software,Melbourne,"Cromwell Street, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia",AI-powered work intelligence and process documentation platform.,https://www.linkedin.com/company/usefluency/,https://ecosystem.innovationvictoria.com/companies/farmor_software_pty_ltd,4,10500001,operational,,
Flux Finance,startup,mobile app;commission;marketplace & ecommerce,https://www.flux.finance/,early stage,2020,2-10,fintech,Melbourne,"Burnley, Burnley Street, Burnley, Melbourne, City of Yarra, Victoria, 3121, Australia","Helping 200,000 Aussies win at money",https://www.linkedin.com/company/fluxfinance/,https://ecosystem.innovationvictoria.com/companies/flux_6,1,875000,acquired,,
FMClarity,scaleup,subscription;saas,http://www.fmclarity.com,early stage,2015,11-50,real estate,Melbourne,"Sturt Street, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia", software that makes the job of managing facilities and compliance easier,https://www.linkedin.com/company/fmclarity/,https://ecosystem.innovationvictoria.com/companies/fm_clarity,1,,operational,,
Focus Bear,startup,mobile app;artificial intelligence;subscription;saas,http://focusbear.io,breakout stage,2022,51-200,health,Melbourne,"Melrose Street, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia",Built by a neurodivergent team for people with ADHD who need better focus,https://www.linkedin.com/company/focus-bear/,https://ecosystem.innovationvictoria.com/companies/focus_bear,1,115909,operational,,
Focusmarkets,startup,subscription,http://focusmarkets.com,early stage,2019,2-10,fintech,Melbourne,"Melbourne, Australia","Trade CFDs on FX, Indices, Commodities, Shares & Crypto with 24/5 expert support",https://www.linkedin.com/company/focus-markets/,https://ecosystem.innovationvictoria.com/companies/focusmarkets,1,,operational,,
Formee Express,startup,commission,http://formeeexpress.com,early stage,2019,11-50,education,Melbourne,"North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia",International student admissions and application processing platform.,https://www.linkedin.com/company/formee-express/,https://ecosystem.innovationvictoria.com/companies/formee_express,3,,operational,,
Fortiro,startup,saas,http://fortiro.com,early stage,2021,11-50,security,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Automating document reviews can invite criminals, liars and scammers that use seemingly authentic looking documents to try to slip through the process",https://www.linkedin.com/company/fortiro/,https://ecosystem.innovationvictoria.com/companies/fortiro,4,3500001,operational,,
FOUNDIT,startup,commission,https://foundit.property/,early stage,2024,11-50,real estate,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Real estate platform empowering buyers with data,https://www.linkedin.com/company/founditproperty/,https://ecosystem.innovationvictoria.com/companies/foundit,1,3090909,operational,,
Foundr Magazine,scaleup,,http://foundr.com,early stage,2013,11-50,media;education,Melbourne,"3000 Melbourne, Australia",Magazine & Education platform for entrepreneurs & early stage startup founders,https://www.linkedin.com/company/foundr,https://ecosystem.innovationvictoria.com/companies/foundr_magazine,1,,operational,,
Foxcatcher,startup,saas,http://foxcatcher.com.au,early stage,2020,11-50,marketing,Melbourne,"Moray Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia","We are experts on customer data, digital ecosystems and aligning addressable media with CRM, DTC and eCommerce outcomes",https://www.linkedin.com/company/foxcatcher/,https://ecosystem.innovationvictoria.com/companies/foxcatcher,1,4999999,operational,,
Fractionus,startup,commission,http://fractionus.com,early stage,2025,2-10,jobs recruitment,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","On-demand marketplace for vetted, fractional ecommerce talent",https://www.linkedin.com/company/fractionus/,https://ecosystem.innovationvictoria.com/companies/fractionus,71,,operational,,
FrankieOne,startup,recognition technology;subscription;saas,https://www.frankieone.com/,breakout stage,2017,51-200,security;fintech,Melbourne,"Collins Street, Victoria Harbour, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","Leaders in compliance, identity verification and fraud detection, helping companies onboard and protect their customers",https://www.linkedin.com/company/frankieone/,https://ecosystem.innovationvictoria.com/companies/frankie_financial,7,46000001,operational,,
FrontierSI,startup,,https://frontiersi.com.au/,early stage,2018,11-50,,Melbourne,"Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",,https://www.linkedin.com/company/frontiersi/,https://ecosystem.innovationvictoria.com/companies/frontiersi,3,,operational,,
FUNDAY Natural Sweets,startup,selling own inventory;marketplace & ecommerce,https://fundaysweets.com,early stage,2020,11-50,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Natural lollies with prebiotics, no sugar added or alcohols, promoting gut health",https://www.linkedin.com/company/funday-natural-sweets/,https://ecosystem.innovationvictoria.com/companies/funday_natural_sweets,1,,operational,,
Fusion Markets,startup,commission;saas,https://fusionmarkets.com,breakout stage,2017,51-200,fintech,Melbourne,"3000 Melbourne, Australia",Offering flexibility for all range of trading platforms,https://www.linkedin.com/company/fusion-markets/,https://ecosystem.innovationvictoria.com/companies/fusion_markets,12,,operational,,
Genero,scaleup,commission;marketplace & ecommerce,http://www.genero.com,breakout stage,2009,51-200,media;marketing,Melbourne,"Elwood, Melbourne, City of Port Phillip, Victoria, 3184, Australia","Genero is a video production marketplace, bringing together a global community of 350,000 filmmakers to the world's leading brands, big and small, via an end to end cloud software platform",https://www.linkedin.com/company/genero/,https://ecosystem.innovationvictoria.com/companies/genero,4,46818180,operational,,
Global Reviews,,subscription,http://globalreviews.com,early stage,2001,11-50,marketing,Melbourne,"3000 Melbourne, Australia",Global Reviews scientifically measures and evaluates the effectiveness of the experience that you deliver to your customers,https://www.linkedin.com/company/global-reviews/,https://ecosystem.innovationvictoria.com/companies/global_reviews,2,927274,operational,,
Global Spill and Safety,,selling own inventory;manufacturing,https://globalspill.com.au,early stage,1991,11-50,energy,Melbourne,"Settlement Road, Thomastown, Melbourne, City of Whittlesea, Victoria, 3074, Australia","Australian-made spill control solutions for oil and chemical containment, serving global markets since 1991",https://www.linkedin.com/company/global-spill-safety/,https://ecosystem.innovationvictoria.com/companies/global_spill_and_safety,1,,acquired,,
Glowing Structures,scaleup,manufacturing,https://glowingstructures.com,early stage,2007,2-10,,Melbourne,"South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",High-end residential and commercial lighting design with bespoke fittings and expert consultations,https://www.linkedin.com/company/glowing-structures/,https://ecosystem.innovationvictoria.com/companies/glowing_structures,1,,acquired,,
Greenlake Medical,startup,saas,https://www.greenlakemedical.ai,early stage,2020,2-10,health;enterprise software,Melbourne,"Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","Medici: clinical coding, grouping & auditing",https://www.linkedin.com/company/greenlake-medical-ai/,https://ecosystem.innovationvictoria.com/companies/greenlake_medical,1,,low-activity,,
gridmo,startup,subscription;saas,https://www.gridmo.io,early stage,2022,2-10,energy,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Gridmo accelerates the connection of generation to the grid. Unlock access to fast and accurate power system studies which use industry-standard modelling tools and align with the latest grid code requirements,https://www.linkedin.com/company/gridmo-au/,https://ecosystem.innovationvictoria.com/companies/gridmo,1,500001,operational,,
gurru systems,startup,saas,http://gurru.com.au,early stage,2021,11-50,enterprise software,Melbourne,"3, Westside Avenue, Fishermans Bend, Port Melbourne, Melbourne, City of Melbourne, Victoria, 3207, Australia","Innovative software solutions that solve industry problems With a focus on the waste, transportation and facilities management sectors, Gurru delivers tech and […]",https://www.linkedin.com/company/gurru-systems/,https://ecosystem.innovationvictoria.com/companies/gurru_systems,2,,operational,,
Gwen,startup,subscription;saas,https://heygwen.com,early stage,2021,1,jobs recruitment,Melbourne,"Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia",A new way to recruit young talent - ditching resumes for video pitches,https://www.linkedin.com/company/upitchme/,https://ecosystem.innovationvictoria.com/companies/upitch_me,1,5000,operational,,
gwmanz.com,,manufacturing,http://gwmanz.com,early stage,,,transportation,Melbourne,"Springvale Road, Mulgrave, Melbourne, City of Monash, Victoria, 3170, Australia","Luxurious SUVs, Utes, and EVs designed for performance, comfort, and sustainability with advanced safety features",https://www.linkedin.com/company/gwm-australia-new-zealand/,https://ecosystem.innovationvictoria.com/companies/gwmanz_com,4,,operational,,
GXE,startup,commission;saas,http://gxe.com,early stage,2021,11-50,legal,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",The operating system for unlisted assets and funds management,https://www.linkedin.com/company/gxedotcom/,https://ecosystem.innovationvictoria.com/companies/gxe,3,5300000,operational,,
Halx,startup,saas,http://halx.io,early stage,2022,2-10,enterprise software,Melbourne,"Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","We pride ourselves in delivering fit-for-purpose business applications deploying leading-edge Web3, Machine Learning, and Artificial Intelligence technology",https://www.linkedin.com/company/halxio/,https://ecosystem.innovationvictoria.com/companies/halx_1,1,,operational,,
HarvestStack,startup,commission;marketplace & ecommerce,https://harveststack.co,early stage,2023,2-10,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Demand a food system that serves our world,https://www.linkedin.com/company/harveststack/,https://ecosystem.innovationvictoria.com/companies/harveststack,1,,operational,,
Healthily,startup,subscription;saas,http://healthily.com.au,early stage,2016,11-50,health,Melbourne,"Melbourne, Australia",Healthily is an Australian health technology company specialising in patient education,https://www.linkedin.com/company/healthily/,https://ecosystem.innovationvictoria.com/companies/healthily,1,,operational,,
Heidi,startup,artificial intelligence;subscription,https://heidihealth.com,late stage,2019,501-1000,health;enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI clinical documentation platform for healthcare workflows,https://www.linkedin.com/company/heidi/,https://ecosystem.innovationvictoria.com/companies/heidi_2,95,141109090,operational,,
Helfie,startup,artificial intelligence;machine learning;recognition technology;mobile app;commission;subscription;saas,http://helfie.ai,late stage,2016,51-200,health,Melbourne,"3000 Melbourne, Australia",Instant diagnosis of skin moles using artificial intelligence and real doctors,https://www.linkedin.com/company/helfieai/,https://ecosystem.innovationvictoria.com/companies/helfie_pty,10,53936362,operational,,
HelloCareAU,startup,advertising;saas,http://hellocare.com.au,early stage,2017,2-10,health;media,Melbourne,"114, Flinders Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia",News and information platform for the aged care sector.,https://www.linkedin.com/company/hellocareau/,https://ecosystem.innovationvictoria.com/companies/hellocareau,2,,operational,,
Horsell Technology,startup,subscription;saas,https://Horsell.com.au,early stage,2021,11-50,enterprise software,Melbourne,"175-187, Sturt Street, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia","Specialists in defence procurement, asset management, and project logistics for government sectors",https://www.linkedin.com/company/horsell-consulting/,https://ecosystem.innovationvictoria.com/companies/horsell_technology,4,,operational,,
HotDoc,scaleup,marketplace & ecommerce,http://hotdoc.com.au,early stage,2012,51-200,health,Melbourne,"East Tower, 525, Flinders Street, Melbourne, South Wharf, Melbourne, City of Melbourne, Victoria, 3000, Australia","HotDoc | Doctor Appointment, Doctor Appointment Online",https://www.linkedin.com/company/hotdoc/,https://ecosystem.innovationvictoria.com/companies/hotdoc,12,7200000,acquired,,
